subject_id,delta_radius_stimulation,delta_radius_fixation,delta_velocity,delta_inattention
2,-1.42578125,-0.8359375,,
3,-0.25390625,-0.848307292,,
4,-2.9375,0.017578125,,
5,4.48046875,1.544596354,,
6,2.3203125,1.876953125,,
7,0.66015625,1.638997396,,
8,-0.328125,-2.958984375,,
9,-5.5,-1.76953125,,
10,-2.5390625,-0.26953125,,
11,-3.42578125,-0.977213542,,
12,1.9375,-2.185872396,,
13,2.08984375,1.322265625,,
14,-2.33203125,2.22265625,,
15,1.18359375,1.721679688,,
16,3.33984375,-1.673828125,,
17,0.28125,0.673828125,,
18,-0.03125,0.289713542,,
19,4.47265625,6.7265625,,
20,-4.4921875,4.302734375,,
21,0.69140625,-0.190755208,,
22,0.5625,-1.054361979,,
23,-0.73046875,-0.780598958,,
24,1.4296875,0.98046875,,
25,-2.5078125,2.923502604,,
26,0.421875,2.231770833,,
27,-0.23828125,-2.350260417,,
28,-2.3671875,-3.599609375,,
29,0.1796875,2.267578125,,
30,2.40625,2.2109375,,
31,-1.45703125,0.126627604,,
32,4.34765625,3.787760417,,
33,2.87890625,-1.28125,,
34,1.82421875,-0.185872396,,
35,1.75,-3.138671875,,
36,1.18359375,2.46875,,
