subject_id;speed_low;speed_high
2;0.000394996;0.000519916
3;0.002509309;0.001243225
4;0.00066607;0.000375261
5;0.000252243;0.000267671
6;#DIV/0!;#DIV/0!
7;0.055948431;0.004438623
8;0.011097919;0.005474049
9;0.000564812;0.00115424
10;0.000461604;0.000458726
11;0.000712828;0.000166878
12;0.00340664;0.001412126
13;0.004008988;0.002304249
14;0.000874929;0.000748177
15;0.020495273;0.128416201
16;0.012204472;0.000419012
17;0.002273281;0.001005747
18;0.001003427;0.001415921
19;0.000523294;0.008441876
20;0.00047598;0.00146925
21;0.000302073;0.000598985
22;0.009801982;0.001204959
23;4.72917E-05;0.001134331
24;0.001044516;0.000898326
25;0.001854893;0.00038336
26;#DIV/0!;#DIV/0!
27;0.014984471;7.54844E-05
28;0.017436936;0.076453234
29;0.001358282;0.074869897
30;0.000991788;0.000667419
31;0.001970462;0.007216595
32;0.000672163;0.000942829
33;0.000284462;0.000788045
34;0.013283678;0.00428321
35;0.000956565;0.000320999
36;0.000936278;0.001743671
