subject_nr,subject_id,game_nr,trial_nr,perc_noise,perc_noise_sample,orientation,orientation_sample,orientation_0,orientation_0_sample,orientation_positive_unfair,orientation_positive_fair,reference_line,radii
1,2,1,1,6,6.573747292,-5,-4.214317739,-5,-4.214317739,0,0,0,0
1,2,1,2,6,5.115907497,-10,-10.83318901,-10,-10.83318901,0,0,0,0
1,2,1,3,6,6.606237353,-5,-4.381736996,-5,-4.381736996,0,0,0,0
1,2,1,4,6,6.281573817,10,8.475473072,10,8.475473072,1,1,0,0
1,2,1,5,6,5.355565775,-10,-10.61736095,-10,-10.61736095,0,0,0,0
1,2,1,6,6,6.225993799,-5,-3.773319148,-5,-3.773319148,0,0,0,0
1,2,1,7,6,5.692604634,10,10.96906219,10,10.96906219,1,1,0,0
1,2,1,8,6,6.507069584,5,5.265768409,5,5.265768409,1,1,0,0
1,2,1,9,6,6.403651003,5,4.48854924,5,4.48854924,1,1,0,0
1,2,1,10,6,6.223678202,-10,-7.845819449,-10,-7.845819449,0,0,0,0
1,2,1,11,6,7.896294006,5,4.936579839,5,4.936579839,1,1,0,0
1,2,1,12,6,5.986405443,5,5.078442895,5,5.078442895,1,1,0,0
1,2,1,13,6,4.72264648,10,9.38961904,10,9.38961904,1,1,0,0
1,2,1,14,6,5.544097135,-5,-2.50758095,-5,-2.50758095,0,0,0,0
1,2,1,15,6,6.615625208,10,9.372149989,10,9.372149989,1,1,0,0
1,2,1,16,6,4.833594588,-10,-10.63286923,-10,-10.63286923,0,0,0,0
1,2,1,17,0,6.573747292,-10,-10,-10,-10,0,0,0,0
1,2,1,18,0,5.115907497,10,10,10,10,1,1,0,0
1,2,2,1,6,7.100838778,85,83.51036377,-5,-6.489636234,0,0,90,0
1,2,2,2,6,6.440549439,95,95.65827648,5,5.658276477,1,1,90,0
1,2,2,3,6,5.524495649,85,84.37614604,-5,-5.623853957,0,0,90,0
1,2,2,4,6,5.697891846,85,86.03429376,-5,-3.96570624,0,0,90,0
1,2,2,5,6,7.006151126,100,99.72535714,10,9.725357142,1,1,90,0
1,2,2,6,6,6.622803113,95,93.67065607,5,3.670656072,1,1,90,0
1,2,2,7,6,6.817686063,100,102.7307596,10,12.73075958,1,1,90,0
1,2,2,8,6,4.218855578,95,96.03651655,5,6.036516548,1,1,90,0
1,2,2,9,6,5.754037044,80,79.31594057,-10,-10.68405943,0,0,90,0
1,2,2,10,6,6.31881926,80,78.69906932,-10,-11.30093068,0,0,90,0
1,2,2,11,6,5.534515175,100,101.9369187,10,11.93691869,1,1,90,0
1,2,2,12,6,5.716557938,80,81.26232365,-10,-8.737676348,0,0,90,0
1,2,2,13,6,5.643930393,95,93.56127913,5,3.561279126,1,1,90,0
1,2,2,14,6,6.427773323,85,85.26470532,-5,-4.735294685,0,0,90,0
1,2,2,15,6,6.769097048,80,78.8312764,-10,-11.1687236,0,0,90,0
1,2,2,16,6,4.5281927,100,100.2299124,10,10.22991238,1,1,90,0
1,2,2,17,0,7.100838778,80,80,-10,-10,0,0,90,0
1,2,2,18,0,6.440549439,100,100,10,10,1,1,90,0
1,2,3,1,18,16.62492098,5,-1.071948251,5,-1.071948251,1,0,0,0
1,2,3,2,18,16.51477523,10,10.68145935,10,10.68145935,1,1,0,0
1,2,3,3,18,19.92641803,10,10.45973691,10,10.45973691,1,1,0,0
1,2,3,4,18,24.41799428,-10,-10.37605089,-10,-10.37605089,0,0,0,0
1,2,3,5,18,24.82108027,5,2.71415455,5,2.71415455,1,1,0,0
