subject_id;game_nr;trial_nr;perc_noise;perc_noise_sample
2;1;1;6;6.573747292
2;1;2;6;5.115907497
2;1;3;6;6.606237353
2;1;4;6;6.281573817
2;1;5;6;5.355565775
2;1;6;6;6.225993799
2;1;7;6;5.692604634
2;1;8;6;6.507069584
2;1;9;6;6.403651003
2;1;10;6;6.223678202
2;1;11;6;7.896294006
2;1;12;6;5.986405443
2;1;13;6;4.72264648
2;1;14;6;5.544097135
2;1;15;6;6.615625208
2;1;16;6;4.833594588
2;1;17;6;6.573747292
2;1;18;6;5.115907497
2;2;1;6;7.100838778
2;2;2;6;6.440549439
2;2;3;6;5.524495649
2;2;4;6;5.697891846
2;2;5;6;7.006151126
2;2;6;6;6.622803113
2;2;7;6;6.817686063
2;2;8;6;4.218855578
2;2;9;6;5.754037044
2;2;10;6;6.31881926
2;2;11;6;5.534515175
2;2;12;6;5.716557938
2;2;13;6;5.643930393
2;2;14;6;6.427773323
2;2;15;6;6.769097048
2;2;16;6;4.5281927
2;2;17;6;7.100838778
2;2;18;6;6.440549439
2;3;1;18;16.62492098
2;3;2;18;16.51477523
2;3;3;18;19.92641803
2;3;4;18;24.41799428
2;3;5;18;24.82108027
2;3;6;18;18.95246502
2;3;7;18;16.57375029
2;3;8;18;15.84677734
2;3;9;18;18.21917661
2;3;10;18;14.36421511
2;3;11;18;19.18430153
2;3;12;18;17.73342697
2;3;13;18;16.3667269
2;3;14;18;17.5122787
2;3;15;18;17.39773401
2;3;16;18;19.71623366
2;3;17;18;16.62492098
2;3;18;18;16.51477523
2;4;1;18;21.62444486
2;4;2;18;19.61759285
2;4;3;18;18.89706338
2;4;4;18;18.90654477
2;4;5;18;15.32934136
2;4;6;18;13.10511654
2;4;7;18;19.65898734
2;4;8;18;15.59156486
2;4;9;18;19.59225307
2;4;10;18;10.15824977
2;4;11;18;20.34455757
2;4;12;18;17.22445981
2;4;13;18;19.7357592
2;4;14;18;14.62024681
2;4;15;18;18.76514325
2;4;16;18;12.28409271
2;4;17;18;21.62444486
2;4;18;18;19.61759285
2;5;1;18;19.01579465
2;5;2;18;17.27283018
2;5;3;18;13.72346605
2;5;4;18;13.84116968
2;5;5;18;16.851384
2;5;6;18;16.964599
2;5;7;18;18.97191126
2;5;8;18;18.18345799
2;5;9;18;18.11532691
2;5;10;18;16.79760556
2;5;11;18;16.65256315
2;5;12;18;15.47259988
2;5;13;18;18.62557032
2;5;14;18;13.48476258
2;5;15;18;14.78530302
2;5;16;18;14.13183713
2;5;17;18;19.01579465
2;5;18;18;17.27283018
2;6;1;6;7.232667506
2;6;2;6;4.90581025
2;6;3;6;7.114468786
2;6;4;6;5.750640121
2;6;5;6;6.272105474
2;6;6;6;5.81747877
2;6;7;6;5.683158066
2;6;8;6;6.48922738
2;6;9;6;5.611534824
2;6;10;6;6.003480954
2;6;11;6;5.858154511
2;6;12;6;4.813147196
2;6;13;6;5.192834462
2;6;14;6;5.818283318
2;6;15;6;6.820182654
2;6;16;6;5.0769979
2;6;17;6;7.232667506
2;6;18;6;4.90581025
2;7;1;6;4.122416512
2;7;2;6;5.670575363
2;7;3;6;6.111181611
2;7;4;6;5.569057771
2;7;5;6;6.748134825
2;7;6;6;5.770294338
2;7;7;6;6.414944906
2;7;8;6;5.132022716
2;7;9;6;5.707134295
2;7;10;6;5.805129504
2;7;11;6;7.360165641
2;7;12;6;5.125650993
2;7;13;6;6.629217342
